   1      8   moveoutbox    2   channel     1   process 2    boxwidth 2    channelwidth 2   |   -   | 10   0| 16   1| 12   2| 12   2|  7   2|  7   2|  2   2|
  19     24   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel46         |  7   2|  2   2|  2   2| 15   0|  5   0| 17   2| 12   2|  7   2|
  33     24   moveoutbox    3   channel    12   process 3    boxwidth 3    channelwidth 3   |   -   | 10   0|  0   0| 12   2| 13   3|  8   3|  8   3|  3   3|
  12     32   moveoutbox    4   channel     9   process 4    boxwidth 4    channelwidth 5   |   -   | 10   0|  0   0| 12   2| 13   3| 19   4| 14   4|  9   4|
  20     32   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel46         |  7   2|  7   2|  2   2|  2   2| 15   0|  5   0| 17   2| 12   2|
  13     40   moveoutbox    4   channel    13   process 4    boxwidth 4    channelwidth 4   |   -   | 10   0|  0   0| 12   2| 13   3| 19   4| 14   4|  9   4|
  21     40   getbox   12   shiftbox    12    channelwidth 2    putbox12  channel46         | 12   2|  7   2|  7   2|  2   2|  2   2| 15   0|  5   0| 17   2|
  14     48   moveoutbox    4   channel    14   process 4    boxwidth 4    channelwidth 5   |   -   | 10   0|  0   0| 12   2| 13   3| 19   4| 14   4|  9   4|
  22     48   getbox   17   shiftbox    17    channelwidth 2    putbox17  channel46         | 17   2| 12   2|  7   2|  7   2|  2   2|  2   2| 15   0|  5   0|
  15     56   moveoutbox    4   channel    18   process 4    boxwidth 4    channelwidth 4   |   -   | 10   0|  0   0| 12   2| 13   3| 19   4| 14   4|  9   4|
  23     56   moveoutbox    5   channel    46   process 5    boxwidth 0    channelwidth 2   |   -   | 17   2| 12   2|  7   2|  7   2|  2   2|  2   2| 15   0|
  24     64   getbox    3   shiftbox     3    channelwidth 3    putbox 3  channel47         |  3   3| 15   0|  5   0| 17   2| 18   3|  8   3|  8   3|  3   3|
  25     72   getbox    3   shiftbox     3    channelwidth 3    putbox 3  channel47         |  3   3|  3   3| 15   0|  5   0| 17   2| 18   3|  8   3|  8   3|
  26     80   getbox    8   shiftbox     8    channelwidth 3    putbox 8  channel47         |  8   3|  3   3|  3   3| 15   0|  5   0| 17   2| 18   3|  8   3|
  27     88   getbox    8   shiftbox     8    channelwidth 3    putbox 8  channel47         |  8   3|  8   3|  3   3|  3   3| 15   0|  5   0| 17   2| 18   3|
  28     96   getbox   18   shiftbox    18    channelwidth 3    putbox18  channel47         | 18   3|  8   3|  8   3|  3   3|  3   3| 15   0|  5   0| 17   2|
  29    104   getbox   17   shiftbox    17    channelwidth 3    putbox17  channel47         | 17   2| 18   3|  8   3|  8   3|  3   3|  3   3| 15   0|  5   0|
  30    112   moveoutbox    5   channel    47   process 5    boxwidth 0    channelwidth 3   |   -   | 17   2| 18   3|  8   3|  8   3|  3   3|  3   3| 15   0|
  35    120   getbox    8   shiftbox     8    channelwidth 3    putbox 8  channel92         |   -   |  8   3|  3   3| 20   0| 10   0| 16   1| 18   3| 13   3|
  37    120   getbox    6   shiftbox     6    channelwidth 1    putbox 6  channel90         |   -   |  6   1|  1   1| 20   0| 10   0| 16   1| 11   1| 11   1|
  44    120   moveoutbox   18   channel    92   process 9    boxwidth 3    channelwidth 3   |   -   |   -   |   -   |  8   3|  3   3| 20   0| 10   0| 16   1|
  45    120   getbox    4   shiftbox     4    channelwidth 4    putbox 4  channel23         |  4   4| 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|  9   4|
  51    120   getbox   16   shiftbox    16    channelwidth 1    putbox16  channel90         |   -   |   -   |   -   | 16   1|  6   1|  1   1| 20   0| 10   0|
  55    120   moveoutbox   15   channel    46   process 6    boxwidth 0    channelwidth 2   |   -   |   -   | 17   2| 12   2|  7   2|  7   2|  2   2|  2   2|
  59    120   moveoutbox   14   channel    98   process 5    boxwidth 4    channelwidth 4   |   -   |   -   |  0   0| 10   0| 16   1| 18   3| 13   3| 19   4|
  62    120   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel91         |   -   |  7   2|  2   2| 20   0| 10   0| 16   1| 12   2| 12   2|
  79    120   moveoutbox   16   channel    91   process 7    boxwidth 1    channelwidth 2   |   -   |   -   |   -   |   -   |  7   2|  2   2| 20   0| 10   0|
  36    128   moveoutbox   13   channel    92   process 4    boxwidth 3    channelwidth 3   |   -   |   -   |  8   3|  3   3| 20   0| 10   0| 16   1| 18   3|
  38    128   moveoutbox   11   channel    90   process 2    boxwidth 1    channelwidth 1   |   -   |   -   |  6   1|  1   1| 20   0| 10   0| 16   1| 11   1|
  46    128   getbox    9   shiftbox     9    channelwidth 4    putbox 9  channel23         |  9   4|  4   4| 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|
  52    128   moveoutbox   10   channel    90   process 1    boxwidth 0    channelwidth 1   |   -   |   -   |   -   |   -   | 16   1|  6   1|  1   1| 20   0|
  56    128   moveoutbox   15   channel    47   process 6    boxwidth 0    channelwidth 3   |   -   |   -   | 17   2| 18   3|  8   3|  8   3|  3   3|  3   3|
  60    128   getbox    4   shiftbox     4    channelwidth 4    putbox 4  channel93         |  4   4| 20   0| 10   0| 16   1| 18   3| 13   3| 19   4| 14   4|
  63    128   moveoutbox   12   channel    91   process 3    boxwidth 2    channelwidth 2   |   -   |   -   |  7   2|  2   2| 20   0| 10   0| 16   1| 12   2|
  39    136   moveoutbox   11   channel    90   process 2    boxwidth 1    channelwidth 1   |   -   |   -   |   -   |  6   1|  1   1| 20   0| 10   0| 16   1|
  47    136   getbox   14   shiftbox    14    channelwidth 4    putbox14  channel23         | 14   4|  9   4|  4   4| 15   0|  0   0| 17   2| 13   3| 19   4|
  53    136   getbox   16   shiftbox    16    channelwidth 3    putbox16  channel92         |   -   |   -   |   -   | 16   1|  8   3|  3   3| 20   0| 10   0|
  57    136   getbox    0   shiftbox     0    channelwidth 4    putbox 0  channel23         |   -   |  0   0| 13   3| 19   4| 14   4|  9   4|  4   4| 15   0|
  61    136   moveoutbox   14   channel    93   process 5    boxwidth 4    channelwidth 4   |   -   |  4   4| 20   0| 10   0| 16   1| 18   3| 13   3| 19   4|
  64    136   moveoutbox   12   channel    91   process 3    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  7   2|  2   2| 20   0| 10   0| 16   1|
  40    144   getbox    1   shiftbox     1    channelwidth 1    putbox 1  channel80         |  1   1| 20   0|  5   0| 16   1| 11   1| 11   1|  6   1|  1   1|
  48    144   getbox   19   shiftbox    19    channelwidth 4    putbox19  channel23         | 19   4| 14   4|  9   4|  4   4| 15   0|  0   0| 17   2| 13   3|
  54    144   moveoutbox   10   channel    92   process 1    boxwidth 0    channelwidth 3   |   -   |   -   |   -   |   -   | 16   1|  8   3|  3   3| 20   0|
  58    144   moveoutbox   15   channel    23   process 6    boxwidth 0    channelwidth 4   |   -   |   -   |  0   0| 13   3| 19   4| 14   4|  9   4|  4   4|
  65    144   getbox    2   shiftbox     2    channelwidth 2    putbox 2  channel81         |  2   2| 20   0|  5   0| 16   1| 12   2| 12   2|  7   2|  2   2|
  41    152   getbox    1   shiftbox     1    channelwidth 1    putbox 1  channel80         |  1   1|  1   1| 20   0|  5   0| 16   1| 11   1| 11   1|  6   1|
  49    152   getbox   13   shiftbox    13    channelwidth 4    putbox13  channel23         | 13   3| 19   4| 14   4|  9   4|  4   4| 15   0|  0   0| 17   2|
  66    152   getbox    2   shiftbox     2    channelwidth 2    putbox 2  channel81         |  2   2|  2   2| 20   0|  5   0| 16   1| 12   2| 12   2|  7   2|
  42    160   getbox    6   shiftbox     6    channelwidth 1    putbox 6  channel80         |  6   1|  1   1|  1   1| 20   0|  5   0| 16   1| 11   1| 11   1|
  50    160   moveoutbox   17   channel    23   process 8    boxwidth 2    channelwidth 4   |   -   | 13   3| 19   4| 14   4|  9   4|  4   4| 15   0|  0   0|
  67    160   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel81         |  7   2|  2   2|  2   2| 20   0|  5   0| 16   1| 12   2| 12   2|
  43    168   moveoutbox   11   channel    80   process 2    boxwidth 1    channelwidth 1   |   -   |  6   1|  1   1|  1   1| 20   0|  5   0| 16   1| 11   1|
  68    168   moveoutbox   12   channel    81   process 3    boxwidth 2    channelwidth 2   |   -   |  7   2|  2   2|  2   2| 20   0|  5   0| 16   1| 12   2|
  69    176   moveoutbox   12   channel    81   process 3    boxwidth 2    channelwidth 2   |   -   |   -   |  7   2|  2   2|  2   2| 20   0|  5   0| 16   1|
  70    184   getbox    2   shiftbox     2    channelwidth 2    putbox 2  channel86         |  2   2| 20   0| 10   0| 16   1| 12   2| 12   2|  7   2|  2   2|
  71    192   getbox    2   shiftbox     2    channelwidth 2    putbox 2  channel86         |  2   2|  2   2| 20   0| 10   0| 16   1| 12   2| 12   2|  7   2|
  72    200   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel86         |  7   2|  2   2|  2   2| 20   0| 10   0| 16   1| 12   2| 12   2|
  73    208   moveoutbox   12   channel    86   process 3    boxwidth 2    channelwidth 2   |   -   |  7   2|  2   2|  2   2| 20   0| 10   0| 16   1| 12   2|
  74    216   moveoutbox   12   channel    86   process 3    boxwidth 2    channelwidth 2   |   -   |   -   |  7   2|  2   2|  2   2| 20   0| 10   0| 16   1|
  75    224   getbox    2   shiftbox     2    channelwidth 2    putbox 2  channel96         |  2   2| 20   0| 10   0| 16   1| 12   2| 12   2|  7   2|  7   2|
  76    232   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel96         |  7   2|  2   2| 20   0| 10   0| 16   1| 12   2| 12   2|  7   2|
  77    240   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel96         |  7   2|  7   2|  2   2| 20   0| 10   0| 16   1| 12   2| 12   2|
  78    248   moveoutbox   12   channel    96   process 3    boxwidth 2    channelwidth 2   |   -   |  7   2|  7   2|  2   2| 20   0| 10   0| 16   1| 12   2|
  80    256   getbox    1   shiftbox     1    channelwidth 1    putbox 1  channel95         |  1   1| 20   0| 10   0| 16   1| 11   1| 11   1|  6   1|  6   1|
  82    256   moveoutbox   19   channel    98   process 1    boxwidth 4    channelwidth 4   |   -   |   -   |   -   |  0   0| 10   0| 16   1| 18   3| 13   3|
  90    256   getbox   16   shiftbox    16    channelwidth 2    putbox16  channel81         |   -   |   -   | 16   1|  7   2|  2   2|  2   2| 20   0|  5   0|
  95    256   moveoutbox   20   channel    90   process 2    boxwidth 0    channelwidth 1   |   -   |   -   |   -   |   -   |   -   | 16   1|  6   1|  1   1|
  96    256   moveoutbox    1   channel     5   process 3    boxwidth 1    channelwidth 1   |   -   | 10   0| 16   1| 11   1| 11   1|  6   1|  6   1|  1   1|
  97    256   moveoutbox    2   channel    11   process 4    boxwidth 2    channelwidth 2   |   -   | 10   0|  0   0| 12   2| 12   2|  7   2|  7   2|  2   2|
  99    256   getbox    2   shiftbox     2    channelwidth 2    putbox 2  channel 1         |   -   |  2   2| 10   0| 16   1| 12   2| 12   2|  7   2|  7   2|
 101    256   moveoutbox    3   channel    17   process 5    boxwidth 3    channelwidth 3   |   -   | 10   0|  0   0| 12   2| 13   3|  8   3|  8   3|  3   3|
 104    256   moveoutbox    4   channel    19   process 6    boxwidth 4    channelwidth 5   |   -   | 10   0|  0   0| 12   2| 13   3| 19   4| 14   4|  9   4|
  81    264   moveoutbox    6   channel    95   process 8    boxwidth 1    channelwidth 1   |   -   |  1   1| 20   0| 10   0| 16   1| 11   1| 11   1|  6   1|
  83    264   moveoutbox   19   channel    93   process 1    boxwidth 4    channelwidth 4   |   -   |   -   |  4   4| 20   0| 10   0| 16   1| 18   3| 13   3|
  91    264   moveoutbox    5   channel    81   process 7    boxwidth 0    channelwidth 2   |   -   |   -   |   -   | 16   1|  7   2|  2   2|  2   2| 20   0|
  98    264   moveoutbox    2   channel    16   process 4    boxwidth 2    channelwidth 2   |   -   | 10   0|  0   0| 12   2| 12   2|  7   2|  7   2|  2   2|
 100    264   moveoutbox    7   channel     1   process 9    boxwidth 2    channelwidth 2   |   -   |   -   |  2   2| 10   0| 16   1| 12   2| 12   2|  7   2|
 102    264   moveoutbox    3   channel    22   process 5    boxwidth 3    channelwidth 3   |   -   | 15   0|  0   0| 12   2| 13   3|  8   3|  8   3|  3   3|
 105    264   moveoutbox    4   channel    24   process 6    boxwidth 4    channelwidth 5   |   -   | 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|  9   4|
  84    272   getbox    4   shiftbox     4    channelwidth 4    putbox 4  channel88         |  4   4| 20   0| 10   0| 16   1| 18   3| 13   3| 19   4|  9   4|
  92    272   getbox   11   shiftbox    11    channelwidth 1    putbox11  channel80         |   -   | 11   1|  6   1|  1   1|  1   1| 20   0|  5   0| 16   1|
 103    272   moveoutbox    3   channel    27   process 5    boxwidth 3    channelwidth 3   |   -   | 15   0|  0   0| 17   2| 13   3|  8   3|  8   3|  3   3|
 106    272   moveoutbox    4   channel    28   process 6    boxwidth 4    channelwidth 4   |   -   | 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|  9   4|
  85    280   getbox    9   shiftbox     9    channelwidth 4    putbox 9  channel88         |  9   4|  4   4| 20   0| 10   0| 16   1| 18   3| 13   3| 19   4|
  93    280   getbox   16   shiftbox    16    channelwidth 1    putbox16  channel80         |   -   | 16   1| 11   1|  6   1|  1   1|  1   1| 20   0|  5   0|
 107    280   moveoutbox    4   channel    29   process 6    boxwidth 4    channelwidth 5   |   -   | 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|  9   4|
  86    288   moveoutbox   19   channel    88   process 1    boxwidth 4    channelwidth 4   |   -   |  9   4|  4   4| 20   0| 10   0| 16   1| 18   3| 13   3|
  94    288   moveoutbox    5   channel    80   process 7    boxwidth 0    channelwidth 1   |   -   |   -   | 16   1| 11   1|  6   1|  1   1|  1   1| 20   0|
 108    288   moveoutbox    4   channel    33   process 6    boxwidth 4    channelwidth 4   |   -   | 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|  9   4|
  87    296   getbox    4   shiftbox     4    channelwidth 5    putbox 4  channel89         |  4   4| 20   0| 10   0| 16   1| 18   3| 13   3| 19   4|  9   4|
 109    296   moveoutbox    4   channel    34   process 6    boxwidth 4    channelwidth 5   |   -   | 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|  9   4|
  88    304   getbox    9   shiftbox     9    channelwidth 5    putbox 9  channel89         |  9   4|  4   4| 20   0| 10   0| 16   1| 18   3| 13   3| 19   4|
 110    304   moveoutbox    4   channel    38   process 6    boxwidth 4    channelwidth 4   |   -   | 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|  9   4|
  89    312   moveoutbox   19   channel    89   process 1    boxwidth 4    channelwidth 5   |   -   |  9   4|  4   4| 20   0| 10   0| 16   1| 18   3| 13   3|
 111    320   moveoutbox   12   channel    96   process 6    boxwidth 2    channelwidth 2   |   -   |   -   |  7   2|  7   2|  2   2| 20   0| 10   0| 16   1|
 125    320   moveinbox    4   channel    98   process 1   boxwidth 4    channelwidth 4   |   -   |   -   |  4   4|  0   0| 10   0| 16   1| 18   3| 13   3|
 153    320   getbox    4   shiftbox     4    channelwidth 5    putbox 4  channel94         |  4   4| 20   0| 10   0| 16   1| 18   3| 13   3| 19   4| 14   4|
 157    320   getbox    3   shiftbox     3    channelwidth 3    putbox 3  channel22         |   -   |  3   3| 15   0|  0   0| 12   2| 13   3|  8   3|  8   3|
 178    320   moveoutbox   10   channel    91   process 4    boxwidth 0    channelwidth 2   |   -   |   -   | 12   2| 12   2| 12   2|  7   2|  2   2| 20   0|
 181    320   moveoutbox   13   channel    98   process 7    boxwidth 3    channelwidth 4   |   -   |  4   4|  4   4|  4   4|  0   0| 10   0| 16   1| 18   3|
 182    320   moveoutbox    9   channel     3   process 3    boxwidth 4    channelwidth 4   |   -   |  4   4| 10   0| 16   1| 18   3| 13   3| 19   4| 14   4|
 183    320   getbox    6   shiftbox     6    channelwidth 1    putbox 6  channel95         |   -   |  6   1|  1   1| 20   0| 10   0| 16   1| 11   1| 11   1|
 190    320   getbox    3   shiftbox     3    channelwidth 3    putbox 3  channel97         |  3   3| 20   0| 10   0| 16   1| 18   3| 13   3|  8   3|  8   3|
 112    328   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel 1         |   -   |   -   |  7   2|  2   2| 10   0| 16   1| 12   2| 12   2|
 126    328   moveinbox    4   channel    23   process 1   boxwidth 4    channelwidth 4   |   -   |  4   4|  0   0| 13   3| 19   4| 14   4|  9   4|  4   4|
 154    328   moveoutbox   14   channel    94   process 8    boxwidth 4    channelwidth 5   |   -   |  4   4| 20   0| 10   0| 16   1| 18   3| 13   3| 19   4|
 158    328   getbox    8   shiftbox     8    channelwidth 3    putbox 8  channel22         |   -   |  8   3|  3   3| 15   0|  0   0| 12   2| 13   3|  8   3|
 179    328   getbox   16   shiftbox    16    channelwidth 2    putbox16  channel86         |   -   | 16   1| 12   2|  7   2|  2   2|  2   2| 20   0| 10   0|
 184    328   moveoutbox   11   channel    95   process 5    boxwidth 1    channelwidth 1   |   -   |   -   |  6   1|  1   1| 20   0| 10   0| 16   1| 11   1|
 191    328   moveoutbox    8   channel    97   process 2    boxwidth 3    channelwidth 3   |   -   |  3   3| 20   0| 10   0| 16   1| 18   3| 13   3|  8   3|
 113    336   moveoutbox   12   channel     1   process 6    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  7   2|  2   2| 10   0| 16   1| 12   2|
 127    336   moveinbox    4   channel    98   process 1   boxwidth 4    channelwidth 4   |   -   |  4   4|  4   4|  0   0| 10   0| 16   1| 18   3| 13   3|
 155    336   getbox    9   shiftbox     9    channelwidth 5    putbox 9  channel99         |  9   4|  0   0| 10   0| 16   1| 18   3| 13   3| 19   4| 14   4|
 159    336   getbox    8   shiftbox     8    channelwidth 3    putbox 8  channel22         |   -   |  8   3|  8   3|  3   3| 15   0|  0   0| 12   2| 13   3|
 180    336   moveoutbox   10   channel    86   process 4    boxwidth 0    channelwidth 2   |   -   |   -   | 16   1| 12   2|  7   2|  2   2|  2   2| 20   0|
 185    336   moveoutbox   11   channel    95   process 5    boxwidth 1    channelwidth 1   |   -   |   -   |   -   |  6   1|  1   1| 20   0| 10   0| 16   1|
 114    344   moveoutbox   12   channel     1   process 6    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |   -   |  7   2|  2   2| 10   0| 16   1|
 128    344   moveinbox    4   channel    93   process 1   boxwidth 4    channelwidth 4   |   -   |  4   4|  4   4| 20   0| 10   0| 16   1| 18   3| 13   3|
 156    344   moveoutbox   14   channel    99   process 8    boxwidth 4    channelwidth 5   |   -   |  9   4|  0   0| 10   0| 16   1| 18   3| 13   3| 19   4|
 160    344   getbox   13   shiftbox    13    channelwidth 3    putbox13  channel22         |   -   | 13   3|  8   3|  8   3|  3   3| 15   0|  0   0| 12   2|
 186    344   getbox    1   shiftbox     1    channelwidth 1    putbox 1  channel85         |  1   1| 20   0| 10   0| 16   1| 11   1| 11   1|  6   1|  1   1|
 115    352   getbox    2   shiftbox     2    channelwidth 2    putbox 2  channel 6         |   -   |  2   2| 10   0| 16   1| 12   2| 12   2|  7   2|  7   2|
 129    352   moveinbox    4   channel     3   process 1   boxwidth 4    channelwidth 4   |  4   4| 10   0| 16   1| 18   3| 13   3| 19   4| 14   4|  9   4|
 161    352   getbox   12   shiftbox    12    channelwidth 3    putbox12  channel22         |   -   | 12   2| 13   3|  8   3|  8   3|  3   3| 15   0|  0   0|
 187    352   getbox    1   shiftbox     1    channelwidth 1    putbox 1  channel85         |  1   1|  1   1| 20   0| 10   0| 16   1| 11   1| 11   1|  6   1|
 116    360   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel 6         |   -   |  7   2|  2   2| 10   0| 16   1| 12   2| 12   2|  7   2|
 130    360   moveinbox    4   channel     4   process 1   boxwidth 4    channelwidth 5   |  4   4| 10   0| 16   1| 18   3| 13   3| 19   4| 14   4|  9   4|
 162    360   getbox    0   shiftbox     0    channelwidth 3    putbox 0  channel22         |   -   |  0   0| 12   2| 13   3|  8   3|  8   3|  3   3| 15   0|
 188    360   getbox    6   shiftbox     6    channelwidth 1    putbox 6  channel85         |  6   1|  1   1|  1   1| 20   0| 10   0| 16   1| 11   1| 11   1|
 117    368   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel 6         |   -   |  7   2|  7   2|  2   2| 10   0| 16   1| 12   2| 12   2|
 131    368   moveinbox    4   channel     8   process 1   boxwidth 4    channelwidth 4   |  4   4| 10   0|  0   0| 12   2| 13   3| 19   4| 14   4|  9   4|
 163    368   moveoutbox   15   channel    22   process 9    boxwidth 0    channelwidth 3   |   -   |   -   |  0   0| 12   2| 13   3|  8   3|  8   3|  3   3|
 189    368   moveoutbox   11   channel    85   process 5    boxwidth 1    channelwidth 1   |   -   |  6   1|  1   1|  1   1| 20   0| 10   0| 16   1| 11   1|
 118    376   moveoutbox   12   channel     6   process 6    boxwidth 2    channelwidth 2   |   -   |   -   |  7   2|  7   2|  2   2| 10   0| 16   1| 12   2|
 132    376   moveinbox    4   channel     9   process 1   boxwidth 4    channelwidth 5   |  4   4| 10   0|  0   0| 12   2| 13   3| 19   4| 14   4|  9   4|
 164    376   getbox    3   shiftbox     3    channelwidth 3    putbox 3  channel27         |   -   |  3   3| 15   0|  0   0| 17   2| 13   3|  8   3|  8   3|
 119    384   moveoutbox   12   channel     6   process 6    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  7   2|  7   2|  2   2| 10   0| 16   1|
 133    384   moveinbox    4   channel    13   process 1   boxwidth 4    channelwidth 4   |  4   4| 10   0|  0   0| 12   2| 13   3| 19   4| 14   4|  9   4|
 165    384   getbox    8   shiftbox     8    channelwidth 3    putbox 8  channel27         |   -   |  8   3|  3   3| 15   0|  0   0| 17   2| 13   3|  8   3|
 120    392   getbox    2   shiftbox     2    channelwidth 2    putbox 2  channel11         |   -   |  2   2| 10   0|  0   0| 12   2| 12   2|  7   2|  7   2|
 134    392   moveinbox    4   channel    14   process 1   boxwidth 4    channelwidth 5   |  4   4| 10   0|  0   0| 12   2| 13   3| 19   4| 14   4|  9   4|
 166    392   getbox    8   shiftbox     8    channelwidth 3    putbox 8  channel27         |   -   |  8   3|  8   3|  3   3| 15   0|  0   0| 17   2| 13   3|
 121    400   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel11         |   -   |  7   2|  2   2| 10   0|  0   0| 12   2| 12   2|  7   2|
 135    400   moveinbox    4   channel    18   process 1   boxwidth 4    channelwidth 4   |  4   4| 10   0|  0   0| 12   2| 13   3| 19   4| 14   4|  9   4|
 167    400   getbox   13   shiftbox    13    channelwidth 3    putbox13  channel27         |   -   | 13   3|  8   3|  8   3|  3   3| 15   0|  0   0| 17   2|
 122    408   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel11         |   -   |  7   2|  7   2|  2   2| 10   0|  0   0| 12   2| 12   2|
 136    408   moveinbox    4   channel    23   process 1   boxwidth 4    channelwidth 4   |  4   4|  4   4|  0   0| 13   3| 19   4| 14   4|  9   4|  4   4|
 168    408   getbox   17   shiftbox    17    channelwidth 3    putbox17  channel27         |   -   | 17   2| 13   3|  8   3|  8   3|  3   3| 15   0|  0   0|
 123    416   moveoutbox   12   channel    11   process 6    boxwidth 2    channelwidth 2   |   -   |   -   |  7   2|  7   2|  2   2| 10   0|  0   0| 12   2|
 137    416   moveinbox    4   channel    98   process 1   boxwidth 4    channelwidth 4   |  4   4|  4   4|  4   4|  0   0| 10   0| 16   1| 18   3| 13   3|
 169    416   getbox    0   shiftbox     0    channelwidth 3    putbox 0  channel27         |   -   |  0   0| 17   2| 13   3|  8   3|  8   3|  3   3| 15   0|
 124    424   moveoutbox   12   channel    11   process 6    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  7   2|  7   2|  2   2| 10   0|  0   0|
 138    424   moveinbox    4   channel    93   process 1   boxwidth 4    channelwidth 4   |  4   4|  4   4|  4   4| 20   0| 10   0| 16   1| 18   3| 13   3|
 170    424   moveoutbox   15   channel    27   process 9    boxwidth 0    channelwidth 3   |   -   |   -   |  0   0| 17   2| 13   3|  8   3|  8   3|  3   3|
 139    432   moveinbox   12   channel    92   process 1   boxwidth 2    channelwidth 3   |   -   |   -   |   -   | 12   2| 16   1|  8   3|  3   3| 20   0|
 171    432   getbox    9   shiftbox     9    channelwidth 5    putbox 9  channel24         |   -   |  9   4| 15   0|  0   0| 17   2| 13   3| 19   4| 14   4|
 140    440   moveinbox   12   channel    91   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   | 12   2|  7   2|  2   2| 20   0| 10   0|
 172    440   getbox   14   shiftbox    14    channelwidth 5    putbox14  channel24         |   -   | 14   4|  9   4| 15   0|  0   0| 17   2| 13   3| 19   4|
 141    448   moveinbox   12   channel     1   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   | 12   2|  7   2|  2   2| 10   0| 16   1|
 173    448   getbox   19   shiftbox    19    channelwidth 5    putbox19  channel24         |   -   | 19   4| 14   4|  9   4| 15   0|  0   0| 17   2| 13   3|
