Type,Row,Column,Width,Channel_Width
-1,1,12,-1,3
20,2,21,0,2
23,7,34,3,5
14,6,34,4,5
25,5,34,0,5
38,4,34,3,5
18,3,34,3,5
4,2,34,4,5
-1,0,34,-1,5
-1,1,34,-1,5
20,2,48,0,4
4,7,18,4,4
19,6,18,4,4
48,5,18,3,4
38,4,18,3,4
9,3,18,4,4
45,2,18,0,4
-1,0,18,-1,4
-1,1,18,-1,4
20,2,12,0,3
45,7,30,0,1
24,6,30,4,1
16,5,30,1,1
41,4,30,1,1
6,3,30,1,1
-1,2,30,-1,1
-1,0,30,-1,1
-1,1,30,-1,1
1,7,40,1,1
25,6,40,0,1
16,5,40,1,1
11,4,40,1,1
30,3,40,0,1
10,2,40,0,1
-1,0,40,-1,1
-1,1,40,-1,1
19,7,8,4,4
5,6,8,0,4
17,5,8,2,4
31,4,8,1,4
32,3,8,2,4
-1,0,8,-1,4
-1,1,8,-1,4
27,2,8,2,4
37,7,31,2,2
50,6,31,0,2
17,5,31,2,2
22,4,31,2,2
5,3,31,0,2
-1,2,31,-1,2
-1,0,31,-1,2
-1,1,31,-1,2
38,7,22,3,3
48,6,22,3,3
43,5,22,3,3
25,4,22,0,3
13,3,22,3,3
10,2,22,0,3
-1,0,22,-1,3
-1,1,22,-1,3
28,1,13,3,4
11,7,0,1,1
46,6,0,1,1
31,5,0,1,1
46,4,0,1,1
20,3,0,0,1
-1,2,0,-1,1
-1,0,0,-1,1
-1,1,0,-1,1
21,7,39,1,5
8,6,39,3,5
11,5,39,1,5
39,4,39,4,5
35,3,39,0,5
27,2,39,2,5
-1,0,39,-1,5
-1,1,39,-1,5
28,1,23,3,4
33,7,20,3,1
25,6,20,0,1
21,5,20,1,1
30,4,20,0,1
32,3,20,2,1
-1,2,20,-1,1
-1,0,20,-1,1
-1,1,20,-1,1
33,1,43,3,4
28,7,32,3,3
16,6,32,1,3
2,5,32,2,3
35,4,32,0,3
23,3,32,3,3
6,2,32,1,3
-1,0,32,-1,3
-1,1,32,-1,3
33,1,4,3,5
38,7,2,3,3
13,6,2,3,3
33,5,2,3,3
38,4,2,3,3
18,3,2,3,3
23,2,2,3,3
-1,0,2,-1,3
-1,1,2,-1,3
34,1,28,4,4
34,7,44,4,5
24,6,44,4,5
47,5,44,2,5
47,4,44,2,5
44,3,44,4,5
-1,0,44,-1,5
-1,1,44,-1,5
34,1,14,4,5
4,7,33,4,4
29,6,33,4,4
46,5,33,1,4
49,4,33,4,4
39,3,33,4,4
33,2,33,3,4
-1,0,33,-1,4
-1,1,33,-1,4
34,1,29,4,5
22,7,36,2,2
40,6,36,0,2
26,5,36,1,2
22,4,36,2,2
35,3,36,0,2
-1,2,36,-1,2
-1,0,36,-1,2
-1,1,36,-1,2
13,7,49,3,5
4,6,49,4,5
36,5,49,1,5
15,4,49,0,5
24,3,49,4,5
-1,0,49,-1,5
-1,1,49,-1,5
43,2,44,3,5
20,7,47,0,3
18,6,47,3,3
30,5,47,0,3
7,4,47,2,3
28,3,47,3,3
27,2,47,2,3
-1,0,47,-1,3
-1,1,47,-1,3
43,2,49,3,5
50,7,41,0,2
32,6,41,2,2
7,5,41,2,2
32,4,41,2,2
40,3,41,0,2
-1,2,41,-1,2
-1,0,41,-1,2
-1,1,41,-1,2
43,1,42,3,3
12,7,17,2,3
42,6,17,2,3
15,5,17,0,3
27,4,17,2,3
23,3,17,3,3
-1,2,17,-1,3
-1,0,17,-1,3
-1,1,17,-1,3
27,7,11,2,2
9,6,11,4,2
17,5,11,2,2
2,4,11,2,2
11,3,11,1,2
46,2,11,1,2
-1,0,11,-1,2
-1,1,11,-1,2
9,7,9,4,5
4,6,9,4,5
19,5,9,4,5
44,4,9,4,5
44,3,9,4,5
12,2,9,2,5
-1,0,9,-1,5
-1,1,9,-1,5
13,7,19,3,5
8,6,19,3,5
35,5,19,0,5
19,4,19,4,5
39,3,19,4,5
-1,0,19,-1,5
-1,1,19,-1,5
5,7,7,0,3
23,6,7,3,3
37,5,7,2,3
22,4,7,2,3
6,3,7,1,3
-1,2,7,-1,3
-1,0,7,-1,3
-1,1,7,-1,3
49,2,19,4,5
37,7,27,2,3
18,6,27,3,3
47,5,27,2,3
18,4,27,3,3
23,3,27,3,3
8,2,27,3,3
-1,0,27,-1,3
-1,1,27,-1,3
36,7,10,1,1
11,6,10,1,1
30,5,10,0,1
16,4,10,1,1
40,3,10,0,1
-1,2,10,-1,1
-1,0,10,-1,1
-1,1,10,-1,1
